Project Name,Sequence Number,Location,Transaction Date,Customer Internal Part number ,Distributor Name,Distributor Part Number,Item Description,Manufacturer,Manufacturer Part Number,Other Notes,Unit of Measure (UoM),UoM Quantity, Incumbent Pack Price ,Quantity,Total baseline units, CURRENT EXT , Savings $ ,Savings %,Savings cat., PA EXT , UNIT PRICE , PA PRICE ,UOM,UNITS/ PACK,NOTES,MANUFACTURER NAME,MANUFACTURER PART NUMBER,SKU,CATEGORY,PRODUCT DESCRIPTION,MATCH TYPE,BP CORE,BP NOTES
Name Of Project,1,,,,McMaster,4477t61 flammable cabinet,,,,Safety Supplies,EA,1,1000,1,1,200,100,0%,Same,"$1,524.37 ","$1,524.37 ","$1,524.37 ",Piece,1,,ORMADUS[REG],1068348,1068348,Safety,90gal Capacity Yellow Steel ORMADUS[REG] 2-Shelf Manual Close Standard Flammable Storage Cabinet,Similar Match,No,06/4 Attempt to validate UOM & Specs
Name Of Project,2,,,,McMaster,4477t61 safety cabinet,,,,Safety Supplies,EA,1,1200,1,1,200,100,0%,Same,"$1,524.37 ","$1,524.37 ","$1,524.37 ",Piece,1,,ORMADUS[REG],1068348,1068348,Safety,90gal Capacity Yellow Steel ORMADUS[REG] 2-Shelf Manual Close Standard Flammable Storage Cabinet,Similar Match,No,06/4 Attempt to validate UOM & Specs
Name Of Project,3,,,,McMaster,1029N22,,,,Misc Shop Supplies,EA,1,1200,4,4,200,100,0%,Same,"$1,179.05 ",$294.76 ,$294.76 ,Piece,1,,ProFitter[REG],4201119,4201119,HVAC and Refrigeration,"30"" 120V 2.4A 1/3 HP 3-Speed ProFitter[REG] Commercial Oscillating Direct-Drive Wall Air Circulator",Similar Match,Yes,06/4 Attempt to validate UOM & Specs
Name Of Project,5,,,,McMaster,2444a77 bench press,,,,Misc Maintenance Supplies,EA,1,1200,1,1,200,100,0%,Same,$923.59 ,$923.59 ,$923.59 ,Piece,1,,Palmgren,9661401,3336421,Machinery,4 Ton Manual Arbor Press,Similar Match,No,06/4 Attempt to validate UOM & Specs
Name Of Project,6,,,,McMaster,60075T25,Corner Post for Triple Two-Rib Guardrail Sullair Air Compressor,,,Misc Maintenance Equip,EA,1,1200,4,4,200,100,0%,Same,$635.04 ,$158.76 ,$158.76 ,Piece,1,,STEEL KING INDUSTRIES INC.,TCUMDYW,530907,"Material Handling, Lifting and Rigging","42"" ARMOR GUARD Yellow Steel Triple Rail Guard Rail Post Used with 2-Ribbed Rail",Similar Match,No,06/4 Attempt to validate UOM & Specs
Name Of Project,9,,,,McMaster,2056A26 Ruler (dow),,,,Misc Maintenance Equip,EA,1,1200,2,2,200,100,0%,Same,$688.91 ,$344.45 ,$344.45 ,Piece,1,,L.S. STARRETT COMPANY (USD),C604R-48,3124272,Test and Measurement,"48""L x 1-1/4""W 4R Graduation Steel Spring Tempered Rule",Similar Match,No,06/4 Unable to  validate Fastenal product as the givevn SKU number does not give any info. In the website'
Name Of Project,10,,,,McMaster,"1029N22 30"" Wall Mount Fan",,,,Misc Maintenance B&G,EA,1,1200,2,2,200,100,0%,Same,$589.52 ,$294.76 ,$294.76 ,Piece,1,,ProFitter[REG],4201119,4201119,HVAC and Refrigeration,"30"" 120V 2.4A 1/3 HP 3-Speed ProFitter[REG] Commercial Oscillating Direct-Drive Wall Air Circulator",Similar Match,Yes,06/4 Unable to  validate Fastenal product as the givevn SKU number does not give any info. In the website'
Name Of Project,11,,,,McMaster,"9955T29 Nylon Wheel 4""dia",,,,Construction in Progress,EA,1,1200,90,90,200,100,0%,Same,$706.48 ,$7.85 ,$7.85 ,Piece,1,,DURABLE USA,NY40GE83,BSS,"Material Handling, Lifting and Rigging","4"" White Nylon Wheel",Similar Match,No,06/4 Attempt to validate UOM & Specs
Name Of Project,12,,,,McMaster,"76435A76 Tape Dispenser 2""",,,,Capital Equip-Deacro,EA,1,1200,7,7,200,100,0%,Same,$687.14 ,$98.16 ,$98.16 ,Piece,1,,3M PRODUCTS,21200110184,603176,"Adhesives, Sealants, and Tape","2"" Gray 3M[TM] Scotch[REG] M75 Utility Bracket  Tape Dispenser",Similar Match,No,06/4 Attempt to validate UOM & Specs
Name Of Project,13,,,,McMaster,"60075T68 6'6"" Guardrail",,,,Seaming Dept Move,EA,1,1200,2,2,200,100,0%,Same,$499.80 ,$249.90 ,$249.90 ,Piece,1,,STEEL KING INDUSTRIES INC.,GR07LYW,530894,"Material Handling, Lifting and Rigging","78"" L x 14-1/2"" H Yellow Powder Coat Steel Lift-Out Guard Rail",Similar Match,No,06/4 Attempt to validate UOM & Specs
Name Of Project,14,,,,McMaster,"60075T68 Guardrail 6'6""",,,,Seaming Dept Move,EA,1,1200,2,2,200,100,0%,Same,$499.80 ,$249.90 ,$249.90 ,Piece,1,,STEEL KING INDUSTRIES INC.,GR07LYW,530894,"Material Handling, Lifting and Rigging","78"" L x 14-1/2"" H Yellow Powder Coat Steel Lift-Out Guard Rail",Similar Match,No,06/4 Attempt to validate UOM & Specs
Name Of Project,17,,,,McMaster,2056A25,,,,Capital Equip-Deacro C610,EA,1,1200,2,2,200,100,0%,Same,$609.18 ,$304.59 ,$304.59 ,Piece,1,,L.S. STARRETT COMPANY (USD),C607R-36,3124754,Test and Measurement,"36""L x 1-1/4""W 7R Graduation Steel Spring Tempered Rule",Similar Match,No,06/4 Attempt to validate UOM & Specs
Name Of Project,18,,,,McMaster,"76435A76 Mount Tape Dispens 2""",,,,"Capital Equip-32"" PCMC 330&340",EA,1,1200,6,6,200,100,0%,Same,$588.98 ,$98.16 ,$98.16 ,Piece,1,,3M PRODUCTS,21200110184,603176,"Adhesives, Sealants, and Tape","2"" Gray 3M[TM] Scotch[REG] M75 Utility Bracket  Tape Dispenser",Similar Match,No,06/4 Attempt to validate UOM & Specs
Name Of Project,19,,,,McMaster,3814A401,,,,"BLADES, Repl Breakaway 9mm",EA,100,1200,20,2000,200,100,0%,Same,$359.58 ,$0.18 ,$1.80 ,Pack,10,Possible UOM issue.,Rock River[REG],209254,209254,Tools and Equipment,13 Segment Snap Off Utility Knife Blades 10/Pk,Similar Match,Yes,06/4 Attempt to correct incumbent UOM
Name Of Project,20,,,,McMaster,2056A25 36''/900mm Cert Ruler,,,,Misc Maintenance Equip - 3310,EA,1,1200,2,2,200,100,0%,Same,$609.18 ,$304.59 ,$304.59 ,Piece,1,,L.S. STARRETT COMPANY (USD),C607R-36,3124754,Test and Measurement,"36""L x 1-1/4""W 7R Graduation Steel Spring Tempered Rule",Similar Match,No,06/4 Attempt to validate UOM & Specs
Name Of Project,22,,,,McMaster,"56265T4 Eye Wash Station 29""",,,,Safety Signage,EA,1,1200,1,1,200,100,0%,Same,$513.76 ,$513.76 ,$513.76 ,Piece,1,,HONEYWELL SAFETY PRODUCTS USA,32-001000-0000,202070,Safety,Green Hanging Bracket Pure Flow 1000[REG] Plastic Eye Wash Bowl Gravity-Fed Eye Wash Station,Similar Match,Yes,
Name Of Project,23,,,,McMaster,"56265T4 29"" Eye Wash Station",,,,Misc Maintenance B&G,EA,1,1200,1,1,200,100,0%,Same,$513.76 ,$513.76 ,$513.76 ,Piece,1,,HONEYWELL SAFETY PRODUCTS USA,32-001000-0000,202070,Safety,Green Hanging Bracket Pure Flow 1000[REG] Plastic Eye Wash Bowl Gravity-Fed Eye Wash Station,Similar Match,Yes,
